Month;L;M;S
3;0,3928;13,4817;0,07475
4;0,3475;13,8097;0,07523
5;0,3092;14,0585;0,07566
6;0,2755;14,2389;0,07601
7;0,2453;14,3678;0,07629
8;0,2179;14,4591;0,0765
9;0,1925;14,5245;0,07665
10;0,169;14,5733;0,07676
11;0,1469;14,6119;0,07683
12;0,1261;14,6449;0,07689
13;0,1064;14,6758;0,07694
14;0,0876;14,7063;0,07699
15;0,0697;14,738;0,07703
16;0,0526;14,7723;0,07707
17;0,0362;14,8095;0,0771
18;0,0204;14,8496;0,07713
19;0,0051;14,8926;0,07717
20;-0,0097;14,9388;0,07721
21;-0,0239;14,9883;0,07725
22;-0,0378;15,041;0,07731
23;-0,0512;15,0964;0,07738
24;-0,0643;15,1536;0,07746
25;-0,077;15,2115;0,07755
26;-0,0894;15,2693;0,07767
27;-0,1014;15,3259;0,0778
28;-0,1132;15,3808;0,07794
29;-0,1248;15,4336;0,0781
30;-0,136;15,4839;0,07827
31;-0,147;15,5317;0,07846
32;-0,1578;15,5771;0,07866
33;-0,1684;15,6201;0,07887
34;-0,1788;15,6611;0,07909
35;-0,189;15,7003;0,07933
36;-0,1989;15,738;0,07956
37;-0,2087;15,7745;0,07981
38;-0,2184;15,8101;0,08006
39;-0,2278;15,845;0,08032
40;-0,2372;15,8793;0,08058
41;-0,2463;15,9132;0,08085
42;-0,2553;15,9467;0,08112
43;-0,2642;15,9797;0,08139
44;-0,273;16,0124;0,08166
45;-0,2816;16,0447;0,08194
46;-0,2901;16,0767;0,08222
47;-0,2985;16,1085;0,0825
48;-0,3067;16,14;0,08278
49;-0,3149;16,1714;0,08307
50;-0,3229;16,2027;0,08335
51;-0,3309;16,234;0,08364
52;-0,3387;16,2654;0,08392
53;-0,3464;16,2968;0,08421
54;-0,3541;16,3283;0,0845
55;-0,3616;16,3599;0,08479
56;-0,3691;16,3916;0,08508
57;-0,3765;16,4233;0,08537
58;-0,3838;16,4551;0,08566
59;-0,391;16,4871;0,08595
60;-0,3981;16,5191;0,08624
